dmin,fmin,n_outliers
0.01,0.01,5000.0
0.01,0.025,5000.0
0.01,0.04,5000.0
0.01,0.05500000000000001,5000.0
0.01,0.07,5000.0
0.01,0.085,5000.0
0.01,0.1,5000.0
0.01,0.115,5000.0
0.01,0.13,5000.0
0.01,0.14500000000000002,5000.0
0.01,0.16000000000000003,5000.0
0.01,0.17500000000000002,5000.0
0.01,0.19000000000000003,5000.0
0.01,0.20500000000000002,5000.0
0.01,0.22000000000000003,5000.0
0.01,0.23500000000000001,5000.0
0.01,0.25,5000.0
0.01,0.265,5000.0
0.01,0.28,5000.0
0.01,0.29500000000000004,5000.0
0.01,0.31000000000000005,5000.0
0.01,0.325,5000.0
0.01,0.34,5000.0
0.01,0.35500000000000004,5000.0
0.01,0.37000000000000005,5000.0
0.01,0.38500000000000006,5000.0
0.01,0.4,5000.0
0.01,0.41500000000000004,5000.0
0.01,0.43000000000000005,5000.0
0.01,0.44500000000000006,5000.0
0.01,0.46,5000.0
0.01,0.47500000000000003,5000.0
0.01,0.49000000000000005,5000.0
0.01,0.505,5000.0
0.01,0.52,5000.0
0.01,0.535,5000.0
0.01,0.55,5000.0
0.01,0.5650000000000001,5000.0
0.01,0.5800000000000001,5000.0
0.01,0.5950000000000001,5000.0
0.01,0.6100000000000001,5000.0
0.01,0.6250000000000001,5000.0
0.01,0.64,5000.0
0.01,0.655,5000.0
0.01,0.67,5000.0
0.01,0.685,5000.0
0.01,0.7000000000000001,5000.0
0.01,0.7150000000000001,5000.0
0.01,0.7300000000000001,5000.0
0.01,0.7450000000000001,5000.0
0.01,0.7600000000000001,5000.0
0.01,0.775,3906.0
0.01,0.79,3860.0
0.01,0.805,3855.0
0.01,0.8200000000000001,3854.0
0.01,0.8350000000000001,3848.0
0.01,0.8500000000000001,3842.0
0.01,0.8650000000000001,3837.0
0.01,0.8800000000000001,3833.0
0.01,0.8950000000000001,3764.0
0.01,0.91,3328.0
0.01,0.925,3028.0
0.01,0.9400000000000001,2644.0
0.01,0.9550000000000001,1951.0
0.01,0.9700000000000001,1074.0
0.01,0.9850000000000001,579.0
0.01,1.0,0.0
0.01,1.0150000000000001,0.0
0.01,1.03,0.0
0.01,1.0450000000000002,0.0
0.01,1.06,0.0
0.01,1.0750000000000002,0.0
0.01,1.09,0.0
0.01,1.1050000000000002,0.0
0.01,1.12,0.0
0.01,1.135,0.0
0.01,1.1500000000000001,0.0
0.01,1.165,0.0
0.01,1.1800000000000002,0.0
0.01,1.195,0.0
0.01,1.2100000000000002,0.0
0.01,1.225,0.0
0.01,1.2400000000000002,0.0
0.01,1.2550000000000001,0.0
0.01,1.27,0.0
0.01,1.2850000000000001,0.0
0.025,0.01,5000.0
0.025,0.025,5000.0
0.025,0.04,5000.0
0.025,0.05500000000000001,5000.0
0.025,0.07,5000.0
0.025,0.085,5000.0
0.025,0.1,5000.0
0.025,0.115,5000.0
0.025,0.13,5000.0
0.025,0.14500000000000002,5000.0
0.025,0.16000000000000003,5000.0
0.025,0.17500000000000002,5000.0
0.025,0.19000000000000003,5000.0
0.025,0.20500000000000002,5000.0
0.025,0.22000000000000003,5000.0
0.025,0.23500000000000001,5000.0
0.025,0.25,5000.0
0.025,0.265,5000.0
0.025,0.28,5000.0
0.025,0.29500000000000004,5000.0
0.025,0.31000000000000005,5000.0
0.025,0.325,5000.0
0.025,0.34,5000.0
0.025,0.35500000000000004,5000.0
0.025,0.37000000000000005,5000.0
0.025,0.38500000000000006,5000.0
0.025,0.4,5000.0
0.025,0.41500000000000004,5000.0
0.025,0.43000000000000005,5000.0
0.025,0.44500000000000006,5000.0
0.025,0.46,5000.0
0.025,0.47500000000000003,5000.0
0.025,0.49000000000000005,5000.0
0.025,0.505,5000.0
0.025,0.52,5000.0
0.025,0.535,5000.0
0.025,0.55,5000.0
0.025,0.5650000000000001,5000.0
0.025,0.5800000000000001,5000.0
0.025,0.5950000000000001,5000.0
0.025,0.6100000000000001,5000.0
0.025,0.6250000000000001,5000.0
0.025,0.64,5000.0
0.025,0.655,5000.0
0.025,0.67,5000.0
0.025,0.685,5000.0
0.025,0.7000000000000001,3860.0
0.025,0.7150000000000001,3513.0
0.025,0.7300000000000001,3505.0
0.025,0.7450000000000001,3496.0
0.025,0.7600000000000001,3487.0
0.025,0.775,3480.0
0.025,0.79,3478.0
0.025,0.805,3476.0
0.025,0.8200000000000001,3476.0
0.025,0.8350000000000001,2955.0
0.025,0.8500000000000001,2220.0
0.025,0.8650000000000001,1815.0
0.025,0.8800000000000001,1689.0
0.025,0.8950000000000001,1596.0
0.025,0.91,1537.0
0.025,0.925,1274.0
0.025,0.9400000000000001,1122.0
0.025,0.9550000000000001,787.0
0.025,0.9700000000000001,642.0
0.025,0.9850000000000001,259.0
0.025,1.0,0.0
0.025,1.0150000000000001,0.0
0.025,1.03,0.0
0.025,1.0450000000000002,0.0
0.025,1.06,0.0
0.025,1.0750000000000002,0.0
0.025,1.09,0.0
0.025,1.1050000000000002,0.0
0.025,1.12,0.0
0.025,1.135,0.0
0.025,1.1500000000000001,0.0
0.025,1.165,0.0
0.025,1.1800000000000002,0.0
0.025,1.195,0.0
0.025,1.2100000000000002,0.0
0.025,1.225,0.0
0.025,1.2400000000000002,0.0
0.025,1.2550000000000001,0.0
0.025,1.27,0.0
0.025,1.2850000000000001,0.0
0.04,0.01,5000.0
0.04,0.025,5000.0
0.04,0.04,5000.0
0.04,0.05500000000000001,5000.0
