,timestamps,x,y,z,sensor_type,device_type
0,21081256,-3.406183004,11.6204443,17.36471367,accelerometer,smartphone
1,21083750,-2.963211775,12.16421318,18.69422531,accelerometer,smartphone
2,21086243,-2.464906454,12.73669624,20.0668087,accelerometer,smartphone
3,21088737,-1.89242363,13.19432354,21.45165443,accelerometer,smartphone
4,21091230,-1.094716311,13.72134209,23.05873489,accelerometer,smartphone
5,21093723,-0.004785645287,14.25793266,25.32742882,accelerometer,smartphone
6,21096217,0.4528416991,14.59322739,27.48575592,accelerometer,smartphone
7,21098710,0.5991029739,14.82323742,28.15155792,accelerometer,smartphone
8,21101204,0.9056833982,15.04846191,27.92663383,accelerometer,smartphone
9,21103697,1.080359459,15.17528152,28.26910591,accelerometer,smartphone
10,21106191,1.164407372,15.19442368,29.37578583,accelerometer,smartphone
11,21108684,1.207478166,15.11306763,30.55664444,accelerometer,smartphone
12,21111177,1.319940805,14.92134285,31.48386383,accelerometer,smartphone
13,21113671,1.516451359,14.72991753,32.22623444,accelerometer,smartphone
14,21116164,1.846959949,14.60997677,32.96651459,accelerometer,smartphone
15,21118658,2.098505497,14.53101349,33.7522583,accelerometer,smartphone
16,21121151,2.352443695,14.57886982,34.44946671,accelerometer,smartphone
17,21123645,2.457727909,14.67458344,35.00759506,accelerometer,smartphone
18,21126138,2.457727909,14.76341629,35.53939819,accelerometer,smartphone
19,21128632,2.369193554,14.8399868,35.89383698,accelerometer,smartphone
20,21131125,2.237588167,14.89980793,36.15973663,accelerometer,smartphone
21,21133619,2.124826431,14.85195065,36.22195053,accelerometer,smartphone
22,21136112,2.055434704,14.76102352,36.15973663,accelerometer,smartphone
23,21138605,1.933101535,14.63151264,35.9991188,accelerometer,smartphone
24,21141097,1.868495345,14.48554993,35.61357498,accelerometer,smartphone
25,21143591,1.880459547,14.30339622,35.06502151,accelerometer,smartphone
26,21146084,1.863709688,14.07817173,34.37259674,accelerometer,smartphone
27,21148578,1.928315997,13.85534,33.52703476,accelerometer,smartphone
28,21151071,1.909173369,13.58943844,32.53072357,accelerometer,smartphone
29,21153564,1.909173369,13.29960728,31.44797134,accelerometer,smartphone
30,21156058,1.945364833,13.02891922,30.35803986,accelerometer,smartphone
31,21158551,1.894816399,12.83031464,29.34467888,accelerometer,smartphone
32,21161045,1.837388635,12.6003046,28.41267586,accelerometer,smartphone
33,21163538,1.724925995,12.4181509,27.42832756,accelerometer,smartphone
34,21166032,1.650449395,12.24556923,26.49393082,accelerometer,smartphone
35,21168525,1.542772412,12.10678482,25.6076889,accelerometer,smartphone
36,21171023,1.461416483,11.87677479,24.6661129,accelerometer,smartphone
37,21173516,1.348654628,11.64676476,23.83729935,accelerometer,smartphone
38,21176010,1.226620674,11.34018517,23.08056831,accelerometer,smartphone
39,21178503,1.039681435,11.0001049,22.21556282,accelerometer,smartphone
40,21180997,0.888933599,10.62383366,21.51386833,accelerometer,smartphone
41,21183490,0.7546364665,10.24546814,20.78076744,accelerometer,smartphone
42,21185984,0.6014958024,9.79501915,20.08834457,accelerometer,smartphone
43,21188477,0.3834498227,9.320941925,19.43689919,accelerometer,smartphone
44,21190970,0.1677966863,8.903991699,18.84766579,accelerometer,smartphone
45,21193464,-0.007178467698,8.408080101,18.14806366,accelerometer,smartphone
46,21195957,-0.1698904037,8.051250458,17.54926109,accelerometer,smartphone
47,21198451,-0.3879363835,7.658228874,16.93610001,accelerometer,smartphone
48,21200946,-0.5270192027,7.275078297,16.41625977,accelerometer,smartphone
49,21203440,-0.6801598072,6.954140663,15.77169228,accelerometer,smartphone
50,21205933,-0.7689933777,6.640381813,15.20160198,accelerometer,smartphone
51,21208427,-0.8096713424,6.355337143,14.65065479,accelerometer,smartphone
52,21210920,-0.8192426562,6.185147285,14.14038563,accelerometer,smartphone
53,21213414,-0.8096713424,5.967101574,13.72852039,accelerometer,smartphone
54,21215907,-0.7546364665,5.969494343,13.1775732,accelerometer,smartphone
55,21218401,-0.4812564552,6.381658077,12.62901878,accelerometer,smartphone
56,21220894,-0.1339980662,6.427121639,12.03021526,accelerometer,smartphone
57,21223388,-0.009571290575,5.993422508,11.50558853,accelerometer,smartphone
58,21225881,0.2108674943,5.560022354,10.97617626,accelerometer,smartphone
59,21228374,0.328414917,5.04736042,10.45872879,accelerometer,smartphone
60,21230870,0.318544507,4.671088696,10.05135059,accelerometer,smartphone
61,21233364,0.2132603228,4.474877357,9.605986595,accelerometer,smartphone
62,21235857,0.1319043487,4.354937077,9.064610481,accelerometer,smartphone
63,21238351,0.1486541033,4.29750967,8.504091263,accelerometer,smartphone
64,21240844,0.1941177398,4.338187218,7.928916931,accelerometer,smartphone
65,21243338,0.2036890239,4.41236496,7.38275528,accelerometer,smartphone
66,21245831,0.09122636169,4.510769844,6.884748936,accelerometer,smartphone
67,21248325,-0.02153540403,4.421936035,6.465406895,accelerometer,smartphone
68,21250818,-0.1555334777,4.249652863,6.055635929,accelerometer,smartphone
