"Time (s)","Acceleration x (m/s²)","Acceleration y (m/s²)","Acceleration z (m/s²)"
2.108125672E1,-3.406183004E0,1.162044430E1,1.736471367E1
2.108375015E1,-2.963211775E0,1.216421318E1,1.869422531E1
2.108624359E1,-2.464906454E0,1.273669624E1,2.006680870E1
2.108873708E1,-1.892423630E0,1.319432354E1,2.145165443E1
2.109123052E1,-1.094716311E0,1.372134209E1,2.305873489E1
2.109372395E1,-4.785645287E-3,1.425793266E1,2.532742882E1
2.109621744E1,4.528416991E-1,1.459322739E1,2.748575592E1
2.109871088E1,5.991029739E-1,1.482323742E1,2.815155792E1
2.110120432E1,9.056833982E-1,1.504846191E1,2.792663383E1
2.110369776E1,1.080359459E0,1.517528152E1,2.826910591E1
2.110619125E1,1.164407372E0,1.519442368E1,2.937578583E1
2.110868468E1,1.207478166E0,1.511306763E1,3.055664444E1
2.111117796E1,1.319940805E0,1.492134285E1,3.148386383E1
2.111367140E1,1.516451359E0,1.472991753E1,3.222623444E1
2.111616489E1,1.846959949E0,1.460997677E1,3.296651459E1
2.111865833E1,2.098505497E0,1.453101349E1,3.375225830E1
2.112115177E1,2.352443695E0,1.457886982E1,3.444946671E1
2.112364520E1,2.457727909E0,1.467458344E1,3.500759506E1
2.112613869E1,2.457727909E0,1.476341629E1,3.553939819E1
2.112863213E1,2.369193554E0,1.483998680E1,3.589383698E1
2.113112557E1,2.237588167E0,1.489980793E1,3.615973663E1
2.113361901E1,2.124826431E0,1.485195065E1,3.622195053E1
2.113611250E1,2.055434704E0,1.476102352E1,3.615973663E1
2.113860593E1,1.933101535E0,1.463151264E1,3.599911880E1
2.114109765E1,1.868495345E0,1.448554993E1,3.561357498E1
2.114359109E1,1.880459547E0,1.430339622E1,3.506502151E1
2.114608453E1,1.863709688E0,1.407817173E1,3.437259674E1
2.114857802E1,1.928315997E0,1.385534000E1,3.352703476E1
2.115107145E1,1.909173369E0,1.358943844E1,3.253072357E1
2.115356489E1,1.909173369E0,1.329960728E1,3.144797134E1
2.115605838E1,1.945364833E0,1.302891922E1,3.035803986E1
2.115855182E1,1.894816399E0,1.283031464E1,2.934467888E1
2.116104526E1,1.837388635E0,1.260030460E1,2.841267586E1
2.116353869E1,1.724925995E0,1.241815090E1,2.742832756E1
2.116603218E1,1.650449395E0,1.224556923E1,2.649393082E1
2.116852562E1,1.542772412E0,1.210678482E1,2.560768890E1
2.117102333E1,1.461416483E0,1.187677479E1,2.466611290E1
2.117351677E1,1.348654628E0,1.164676476E1,2.383729935E1
2.117601020E1,1.226620674E0,1.134018517E1,2.308056831E1
2.117850369E1,1.039681435E0,1.100010490E1,2.221556282E1
2.118099713E1,8.889335990E-1,1.062383366E1,2.151386833E1
2.118349057E1,7.546364665E-1,1.024546814E1,2.078076744E1
2.118598406E1,6.014958024E-1,9.795019150E0,2.008834457E1
2.118847750E1,3.834498227E-1,9.320941925E0,1.943689919E1
2.119097093E1,1.677966863E-1,8.903991699E0,1.884766579E1
2.119346437E1,-7.178467698E-3,8.408080101E0,1.814806366E1
2.119595786E1,-1.698904037E-1,8.051250458E0,1.754926109E1
2.119845130E1,-3.879363835E-1,7.658228874E0,1.693610001E1
2.120094698E1,-5.270192027E-1,7.275078297E0,1.641625977E1
2.120344041E1,-6.801598072E-1,6.954140663E0,1.577169228E1
2.120593385E1,-7.689933777E-1,6.640381813E0,1.520160198E1
2.120842734E1,-8.096713424E-1,6.355337143E0,1.465065479E1
2.121092078E1,-8.192426562E-1,6.185147285E0,1.414038563E1
