Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.058197518,9.475536346,-4.741169453,8.357563019,13.49493744
0.063232362,15.59639263,-5.436468124,10.16078568,19.39185949
0.068267153,22.6158905,-6.138356209,11.60612679,26.1507189
0.073301997,29.42864227,-6.848778725,13.51434231,33.09967075
0.078341893,36.03982544,-8.082250595,15.80422497,40.17418723
0.083376737,41.50045013,-10.72797012,18.11535835,46.53539419
0.088411581,43.43623352,-13.55780602,20.05557442,49.72671869
0.093446424,45.55018616,-17.38002205,22.82461548,53.83166073
0.098481268,47.66831207,-19.7545166,27.1063633,58.28605179
0.103516112,49.78816223,-18.90221214,32.26449585,62.2667842
0.108556581,52.49179077,-14.83179474,37.23381042,66.04337115
0.113591424,54.2195282,-9.986079216,40.79737091,68.58501651
0.118626268,53.95431137,-7.506882191,43.11083221,69.46916474
0.123661112,50.8469696,-5.663479805,44.24919891,67.64230131
0.128696008,47.9642868,-2.938738346,43.46700287,64.79652252
0.133730799,45.4618988,0.3707184792,39.50598526,60.22993065
0.13877382,43.22357559,1.788891315,32.54888916,54.13785925
0.143808664,37.94933319,-0.6768636703,23.31405258,44.54385571
0.148843508,25.85481262,-5.792778492,12.71610451,29.38923157
0.153878351,12.9285202,-11.39191914,1.643928528,17.30967814
0.158913195,0.8573188782,-16.32799721,-8.668371201,18.50619215
0.163948039,-9.912326813,-19.08535767,-17.02108383,27.42667306
0.168992414,-17.88233376,-19.04595375,-22.58155823,34.53191259
0.174027258,-22.49005127,-17.30376434,-25.17390823,37.93347232
0.179062101,-24.40129662,-15.38526344,-25.4263649,38.45295359
0.184096945,-24.29298592,-13.58361244,-24.27201843,36.92958936
0.189131789,-23.35075378,-12.05201626,-22.9614563,34.89609253
0.194166633,-22.67615318,-10.71351814,-21.95213699,33.32992218
0.199208143,-22.50174332,-9.432769775,-21.09763336,32.25547599
0.204242987,-23.20194244,-8.374528885,-20.39053917,32.00370221
0.209277831,-24.62014771,-7.434278965,-19.67384338,32.38024537
0.214312674,-26.23506737,-6.22869873,-18.90528488,32.93152356
0.219347518,-27.80165482,-4.786646843,-18.14695358,33.54334394
0.224382362,-28.79270172,-3.112682581,-17.58246422,33.8799574
0.229382883,-28.93154716,-1.268150687,-17.20919418,33.6867777
0.234417674,-28.64745712,0.5885639787,-17.06201553,33.34869684
0.239452518,-28.52892113,2.540845394,-17.07847595,33.34710747
0.244487362,-28.61942291,4.6229949,-17.09854126,33.65714728
0.249522153,-28.84400558,6.946200848,-17.14089203,34.26421667
0.254556997,-29.28209686,9.4165411,-17.42936325,35.35385617
0.259643456,-29.53742981,11.53025436,-18.0108757,36.46639781
0.264678299,-29.20288086,12.99885273,-18.86916542,37.11904937
0.269713143,-28.52612495,14.02198982,-19.782547,37.43935322
0.274747987,-27.52074051,14.73558426,-20.61301804,37.40889084
0.279782831,-26.23068237,15.05406857,-21.16256523,36.91243483
0.284817674,-24.65101242,15.09293747,-21.62899017,36.10100263
0.289858403,-22.95052338,15.01064587,-21.96721268,35.13693847
0.294893247,-21.25614548,14.88607883,-22.18309402,34.1395478
0.299928091,-19.86107826,14.82401562,-22.26872635,33.31831391
0.304962935,-18.9545517,14.75568581,-22.24940872,32.74204456
0.309997778,-18.28543854,14.42173958,-22.10730171,32.11038187
0.315032622,-17.72590256,13.65505695,-21.80867386,31.24558301
0.32007981,-17.50196075,12.65272903,-21.40022469,30.4036149
0.325114653,-17.59095764,11.69010067,-21.03733253,29.81056196
0.330149549,-17.64608765,10.77582741,-20.77887535,29.31321419
0.335184341,-17.43559837,9.8173666,-20.41781235,28.58789672
0.340219185,-17.21741104,8.994287491,-19.76756859,27.71449473
0.345254028,-16.90661812,8.565284729,-18.90133858,26.76674128
0.350293456,-15.10569191,8.559087753,-18.93856049,25.69258618
0.355328299,-14.85182953,8.941444397,-18.14649773,25.09624769
0.360363143,-15.23622704,8.858325958,-16.81629753,24.35981149
0.365397987,-14.20286369,7.624125004,-16.38884354,22.98788402
0.370432831,-11.64664268,8.41903019,-15.36698055,21.03968741
0.375467674,-9.624065399,8.993469238,-14.06836128,19.27236137
0.380443508,-8.193014145,8.763086319,-12.72437572,17.48790726
0.385478351,-7.324800491,8.131767273,-11.65532684,15.98827649
0.390513195,-6.905166626,7.390637875,-10.43081856,14.529447
0.395548039,-6.668012142,6.840330124,-8.838547707,13.01431626
0.400582831,-6.539469719,6.013948917,-7.333817482,11.52029186
0.405617674,-6.856505871,4.978124619,-5.898514748,10.32404348
0.410727518,-7.504825592,4.327531338,-4.329044342,9.684552626
0.415762362,-7.962166786,3.658304214,-2.963059664,9.24981147
0.420797206,-8.160067558,3.074870586,-1.650267601,8.874959991
0.425832049,-8.214662552,2.644710064,-0.2799532413,8.634439529
0.430866893,-8.251144409,2.364543915,0.9441773891,8.635040413
0.435901737,-8.02128315,1.943953991,1.963846684,8.483904424
0.440944601,-7.77669239,1.538149357,2.698915482,8.374186095
0.445979445,-7.638157845,1.3859272,3.289496422,8.431075624
0.451014289,-7.434000492,1.328113556,3.701301098,8.409986846
0.456049133,-7.139178276,1.321238995,3.872442007,8.228568894
0.461083976,-6.562549114,1.347785473,3.928326368,7.766294136
0.46611882,-5.58753109,1.427488804,3.809983253,6.911888335
0.471163403,-4.275707245,1.666903496,3.508684397,5.776772966
0.476198247,-2.937995911,2.014647007,3.123432875,4.737769038
0.481233091,-1.88124752,2.379135132,2.759048223,4.100210154
0.486267935,-1.16764307,2.710175037,2.479397297,3.854328739
0.491302778,-0.7836041451,2.965633869,2.076046228,3.703915178
0.496337622,-0.8616957664,3.157007217,1.552880526,3.622244068
0.501378924,-1.456608295,3.142911434,0.9321391582,3.587266845
0.506413768,-2.40347147,2.948135376,0.2269792557,3.810472003
0.511448612,-3.49013567,2.614499092,-0.4882634878,4.388058082
0.516483456,-4.494907856,2.371232986,-1.090164065,5.197634096
0.521518299,-5.285306454,2.257119179,-1.601493597,5.966056741
0.526553143,-5.961988926,2.17730999,-2.059286594,6.672829387
0.531594081,-6.63354063,2.063109398,-2.494175434,7.381137634
0.536628924,-7.327036381,1.950896263,-2.928889275,8.128336283
0.541663768,-8.000324249,1.719768524,-3.430183411,8.872933568
0.546698612,-8.957890511,1.667449951,-4.043087006,9.968487562
0.551733456,-10.36144638,1.787699699,-4.57271862,11.46582735
0.556768299,-11.54661751,1.852347374,-5.137419701,12.77296551
